Legal Entity Name,"Organization
Marketing Name","Contract
Number","Organization
Type",Plan Type,"Contract
Effective
Date",Tax Status,"Parent
Organization","CMS
Region
Responsible",Enrollment,"Legal Entity
Street","Legal Entity
Street2","Legal Entity
City","Legal
Entity
State
Code","Legal
Entity
Zip","Directory
Contact Title","Directory
Contact Last
Name","Directory
Contact
First
Name","Directory
Contact
Middle
Initial","Directory
Contact
Phone","Directory
Contact
Phone
Ext","Directory
Contact Fax",Directory Contact Email,"Directory
Contact St
Address","Directory
Contact St
Address2","Directory
Contact City","Directory
Contact
State","Directory
Contact
Zip","Directory
Contact
Last
Update",contractId,planId,pbpStatus,lastUpdatedAt,retail_pharmacy_network,mail_order_1mo_supply,mail_order_3mo_supply,insulin_retail_1mo,insulin_mail_1mo,moop_lower,moop_intermediate,moop_mandatory
"HIGHMARK CHOICE
COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3957,Local CCP,HMO/HMOPOS,03/01/1995,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,56127,120 FIFTH AVE, ,PITTSBURGH,PA,152223099, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,12/05/2017,H3957,043,Submitted,7/11/2024 1:38:59 PM EDT,,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK CHOICE
COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3957,Local CCP,HMO/HMOPOS,03/01/1995,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,56127,120 FIFTH AVE, ,PITTSBURGH,PA,152223099, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,12/05/2017,H3957,043,Submitted,7/11/2024 1:38:59 PM EDT,,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK CHOICE
COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3957,Local CCP,HMO/HMOPOS,03/01/1995,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,56127,120 FIFTH AVE, ,PITTSBURGH,PA,152223099, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,12/05/2017,H3957,044,Submitted,8/7/2024 10:20:23 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK CHOICE
COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3957,Local CCP,HMO/HMOPOS,03/01/1995,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,56127,120 FIFTH AVE, ,PITTSBURGH,PA,152223099, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,12/05/2017,H3957,044,Submitted,8/7/2024 10:20:23 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK CHOICE
COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3957,Local CCP,HMO/HMOPOS,03/01/1995,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,56127,120 FIFTH AVE, ,PITTSBURGH,PA,152223099, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,12/05/2017,H3957,045,Submitted,8/7/2024 10:20:32 AM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK CHOICE
COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3957,Local CCP,HMO/HMOPOS,03/01/1995,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,56127,120 FIFTH AVE, ,PITTSBURGH,PA,152223099, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,12/05/2017,H3957,045,Submitted,8/7/2024 10:20:28 AM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK CHOICE
COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3957,Local CCP,HMO/HMOPOS,03/01/1995,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,56127,120 FIFTH AVE, ,PITTSBURGH,PA,152223099, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,12/05/2017,H3957,046,Submitted,8/7/2024 10:20:32 AM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK CHOICE
COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3957,Local CCP,HMO/HMOPOS,03/01/1995,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,56127,120 FIFTH AVE, ,PITTSBURGH,PA,152223099, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,12/05/2017,H3957,046,Submitted,8/7/2024 10:20:31 AM EDT,1,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK CHOICE
COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3957,Local CCP,HMO/HMOPOS,03/01/1995,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,56127,120 FIFTH AVE, ,PITTSBURGH,PA,152223099, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,12/05/2017,H3957,047,Submitted,8/7/2024 10:20:33 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK CHOICE
COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3957,Local CCP,HMO/HMOPOS,03/01/1995,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,56127,120 FIFTH AVE, ,PITTSBURGH,PA,152223099, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,12/05/2017,H3957,047,Submitted,8/7/2024 10:20:36 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK CHOICE
COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3957,Local CCP,HMO/HMOPOS,03/01/1995,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,56127,120 FIFTH AVE, ,PITTSBURGH,PA,152223099, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,12/05/2017,H3957,047,Submitted,8/7/2024 10:20:32 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK CHOICE
COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3957,Local CCP,HMO/HMOPOS,03/01/1995,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,56127,120 FIFTH AVE, ,PITTSBURGH,PA,152223099, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,12/05/2017,H3957,048,Submitted,8/7/2024 9:39:29 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK CHOICE
COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3957,Local CCP,HMO/HMOPOS,03/01/1995,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,56127,120 FIFTH AVE, ,PITTSBURGH,PA,152223099, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,12/05/2017,H3957,805,Submitted,6/3/2024 2:33:28 PM EDT,,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK CHOICE
COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3957,Local CCP,HMO/HMOPOS,03/01/1995,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,56127,120 FIFTH AVE, ,PITTSBURGH,PA,152223099, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,12/05/2017,H3957,806,Submitted,6/3/2024 2:33:34 PM EDT,,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK CHOICE
COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3957,Local CCP,HMO/HMOPOS,03/01/1995,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,56127,120 FIFTH AVE, ,PITTSBURGH,PA,152223099, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,12/05/2017,H3957,808,Submitted,6/3/2024 2:33:31 PM EDT,,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK CHOICE
COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3957,Local CCP,HMO/HMOPOS,03/01/1995,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,56127,120 FIFTH AVE, ,PITTSBURGH,PA,152223099, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,12/05/2017,H3957,810,Submitted,6/3/2024 2:33:31 PM EDT,,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK CHOICE
COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3957,Local CCP,HMO/HMOPOS,03/01/1995,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,56127,120 FIFTH AVE, ,PITTSBURGH,PA,152223099, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,12/05/2017,H3957,811,Submitted,6/3/2024 2:33:31 PM EDT,,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK CHOICE
COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3957,Local CCP,HMO/HMOPOS,03/01/1995,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,56127,120 FIFTH AVE, ,PITTSBURGH,PA,152223099, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,12/05/2017,H3957,812,Submitted,6/3/2024 2:33:34 PM EDT,,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK CHOICE
COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3957,Local CCP,HMO/HMOPOS,03/01/1995,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,56127,120 FIFTH AVE, ,PITTSBURGH,PA,152223099, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,12/05/2017,H3957,813,Submitted,6/3/2024 2:33:34 PM EDT,,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK CHOICE
COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3957,Local CCP,HMO/HMOPOS,03/01/1995,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,56127,120 FIFTH AVE, ,PITTSBURGH,PA,152223099, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,12/05/2017,H3957,814,Submitted,6/3/2024 2:33:34 PM EDT,,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK CHOICE
COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3957,Local CCP,HMO/HMOPOS,03/01/1995,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,56127,120 FIFTH AVE, ,PITTSBURGH,PA,152223099, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,12/05/2017,H3957,815,Submitted,6/3/2024 2:33:34 PM EDT,,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK CHOICE
COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3957,Local CCP,HMO/HMOPOS,03/01/1995,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,56127,120 FIFTH AVE, ,PITTSBURGH,PA,152223099, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,12/05/2017,H3957,816,Submitted,6/3/2024 2:33:37 PM EDT,,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK CHOICE
COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3957,Local CCP,HMO/HMOPOS,03/01/1995,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,56127,120 FIFTH AVE, ,PITTSBURGH,PA,152223099, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,12/05/2017,H3957,817,Submitted,6/3/2024 2:33:37 PM EDT,,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK CHOICE
COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3957,Local CCP,HMO/HMOPOS,03/01/1995,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,56127,120 FIFTH AVE, ,PITTSBURGH,PA,152223099, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,12/05/2017,H3957,818,Submitted,6/3/2024 2:33:38 PM EDT,,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK SENIOR
HEALTH COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3916,Local CCP,Local PPO,05/01/2003,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,272175,"120 FIFTH
AVENUE", ,PITTSBURGH,PA,15222, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,06/07/2017,H3916,001,Submitted,8/7/2024 10:19:03 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK SENIOR
HEALTH COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3916,Local CCP,Local PPO,05/01/2003,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,272175,"120 FIFTH
AVENUE", ,PITTSBURGH,PA,15222, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,06/07/2017,H3916,002,Submitted,8/7/2024 10:19:03 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK SENIOR
HEALTH COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3916,Local CCP,Local PPO,05/01/2003,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,272175,"120 FIFTH
AVENUE", ,PITTSBURGH,PA,15222, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,06/07/2017,H3916,005,Submitted,8/7/2024 10:19:03 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK SENIOR
HEALTH COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3916,Local CCP,Local PPO,05/01/2003,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,272175,"120 FIFTH
AVENUE", ,PITTSBURGH,PA,15222, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,06/07/2017,H3916,012,Submitted,7/11/2024 1:38:59 PM EDT,,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK SENIOR
HEALTH COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3916,Local CCP,Local PPO,05/01/2003,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,272175,"120 FIFTH
AVENUE", ,PITTSBURGH,PA,15222, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,06/07/2017,H3916,015,Submitted,8/7/2024 10:19:03 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK SENIOR
HEALTH COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3916,Local CCP,Local PPO,05/01/2003,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,272175,"120 FIFTH
AVENUE", ,PITTSBURGH,PA,15222, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,06/07/2017,H3916,018,Submitted,8/7/2024 10:19:03 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK SENIOR
HEALTH COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3916,Local CCP,Local PPO,05/01/2003,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,272175,"120 FIFTH
AVENUE", ,PITTSBURGH,PA,15222, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,06/07/2017,H3916,022,Submitted,8/7/2024 10:19:03 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK SENIOR
HEALTH COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3916,Local CCP,Local PPO,05/01/2003,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,272175,"120 FIFTH
AVENUE", ,PITTSBURGH,PA,15222, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,06/07/2017,H3916,024,Submitted,8/7/2024 10:19:15 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK SENIOR
HEALTH COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3916,Local CCP,Local PPO,05/01/2003,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,272175,"120 FIFTH
AVENUE", ,PITTSBURGH,PA,15222, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,06/07/2017,H3916,032,Submitted,8/7/2024 10:19:15 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK SENIOR
HEALTH COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3916,Local CCP,Local PPO,05/01/2003,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,272175,"120 FIFTH
AVENUE", ,PITTSBURGH,PA,15222, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,06/07/2017,H3916,033,Submitted,8/7/2024 10:19:15 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK SENIOR
HEALTH COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3916,Local CCP,Local PPO,05/01/2003,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,272175,"120 FIFTH
AVENUE", ,PITTSBURGH,PA,15222, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,06/07/2017,H3916,034,Submitted,8/7/2024 10:19:23 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK SENIOR
HEALTH COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3916,Local CCP,Local PPO,05/01/2003,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,272175,"120 FIFTH
AVENUE", ,PITTSBURGH,PA,15222, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,06/07/2017,H3916,034,Submitted,8/7/2024 10:19:15 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK SENIOR
HEALTH COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3916,Local CCP,Local PPO,05/01/2003,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,272175,"120 FIFTH
AVENUE", ,PITTSBURGH,PA,15222, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,06/07/2017,H3916,034,Submitted,8/7/2024 10:19:15 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK SENIOR
HEALTH COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3916,Local CCP,Local PPO,05/01/2003,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,272175,"120 FIFTH
AVENUE", ,PITTSBURGH,PA,15222, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,06/07/2017,H3916,034,Submitted,8/7/2024 10:19:16 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK SENIOR
HEALTH COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3916,Local CCP,Local PPO,05/01/2003,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,272175,"120 FIFTH
AVENUE", ,PITTSBURGH,PA,15222, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,06/07/2017,H3916,035,Submitted,8/7/2024 10:19:23 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK SENIOR
HEALTH COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3916,Local CCP,Local PPO,05/01/2003,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,272175,"120 FIFTH
AVENUE", ,PITTSBURGH,PA,15222, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,06/07/2017,H3916,035,Submitted,8/7/2024 10:19:23 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK SENIOR
HEALTH COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3916,Local CCP,Local PPO,05/01/2003,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,272175,"120 FIFTH
AVENUE", ,PITTSBURGH,PA,15222, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,06/07/2017,H3916,035,Submitted,8/7/2024 10:19:23 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK SENIOR
HEALTH COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3916,Local CCP,Local PPO,05/01/2003,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,272175,"120 FIFTH
AVENUE", ,PITTSBURGH,PA,15222, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,06/07/2017,H3916,036,Submitted,8/7/2024 10:19:23 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK SENIOR
HEALTH COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3916,Local CCP,Local PPO,05/01/2003,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,272175,"120 FIFTH
AVENUE", ,PITTSBURGH,PA,15222, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,06/07/2017,H3916,037,Submitted,8/7/2024 10:19:24 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK SENIOR
HEALTH COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3916,Local CCP,Local PPO,05/01/2003,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,272175,"120 FIFTH
AVENUE", ,PITTSBURGH,PA,15222, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,06/07/2017,H3916,037,Submitted,8/7/2024 10:19:32 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK SENIOR
HEALTH COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3916,Local CCP,Local PPO,05/01/2003,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,272175,"120 FIFTH
AVENUE", ,PITTSBURGH,PA,15222, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,06/07/2017,H3916,037,Submitted,8/7/2024 10:19:31 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK SENIOR
HEALTH COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3916,Local CCP,Local PPO,05/01/2003,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,272175,"120 FIFTH
AVENUE", ,PITTSBURGH,PA,15222, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,06/07/2017,H3916,037,Submitted,8/7/2024 10:19:31 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK SENIOR
HEALTH COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3916,Local CCP,Local PPO,05/01/2003,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,272175,"120 FIFTH
AVENUE", ,PITTSBURGH,PA,15222, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,06/07/2017,H3916,038,Submitted,8/7/2024 10:19:32 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK SENIOR
HEALTH COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3916,Local CCP,Local PPO,05/01/2003,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,272175,"120 FIFTH
AVENUE", ,PITTSBURGH,PA,15222, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,06/07/2017,H3916,039,Submitted,8/7/2024 10:19:32 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
"HIGHMARK SENIOR
HEALTH COMPANY","Highmark Blue Cross
Blue Shield or Highmark
Blue Shield",H3916,Local CCP,Local PPO,05/01/2003,Not-for-Profit/Non-Profit,Highmark Health,Philadelphia,272175,"120 FIFTH
AVENUE", ,PITTSBURGH,PA,15222, ,Service,Provider, ,1-866-588-6967, , ,resourcecenter@highmark.com,120 Fifth Ave, ,Pittsburgh,PA,15222,06/07/2017,H3916,041,Submitted,8/7/2024 10:19:39 AM EDT,2,,,,,$0 - $4150,$4151 - $6750,$6751 - $9350
